correlation_measure,subgrouping,file_name,M,rho_xy,rho_uv,eta_x,eta_y,rho_true,rho_obs_hat,weight_type,mean_estimate,mean_se,coverage_true,coverage_obs,n_reps,corr_setting,eta_setting,scenario_label,bias_true,abs_bias_true,bias_obs,abs_bias_obs,coverage_true_dist,coverage_obs_dist,Y_subgrouping,X_subgrouping,est_cov
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,100,0,0,0,0,0,-0.0011660153552113788,no_weight,-0.0011660153552113788,0.07811138768125256,0.9338,0.9336,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=0","rho_xy=0, rho_uv=0; eta_x=0, eta_y=0",-0.0011660153552113788,0.0011660153552113788,0,0,0.016199999999999992,0.01639999999999997,Severity,Severity,"-0.001 (0.934, 0.934)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,100,0,0,0,0,0,-0.0011660153552113788,CW,-0.00116683919673841,0.07809520501360805,0.9341,0.9338,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=0","rho_xy=0, rho_uv=0; eta_x=0, eta_y=0",-0.00116683919673841,0.00116683919673841,-8.23841527031275e-7,8.23841527031275e-7,0.015899999999999914,0.016199999999999992,Severity,Severity,"-0.001 (0.934, 0.934)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,100,0,0,0,0,0,-0.0011660153552113788,PPW,-8.104577242133621e-4,0.033406097562613285,0.9466,0.9476,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=0","rho_xy=0, rho_uv=0; eta_x=0, eta_y=0",-8.104577242133621e-4,8.104577242133621e-4,3.555576309980167e-4,3.555576309980167e-4,0.0033999999999999586,0.0023999999999999577,Severity,Severity,"-0.001 (0.947, 0.948)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,100,0,0,0,0,0,-0.0011660153552113788,OPW,-7.024301553907278e-4,0.053318968244850704,0.9372,0.9375,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=0","rho_xy=0, rho_uv=0; eta_x=0, eta_y=0",-7.024301553907278e-4,7.024301553907278e-4,4.63585199820651e-4,4.63585199820651e-4,0.012799999999999923,0.012499999999999956,Severity,Severity,"-0.001 (0.937, 0.938)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,100,0,0,0,0,0,-0.0011660153552113788,MOPW,-6.633678469307065e-4,0.05734146993515345,0.9335,0.9328,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=0","rho_xy=0, rho_uv=0; eta_x=0, eta_y=0",-6.633678469307065e-4,6.633678469307065e-4,5.026475082806723e-4,5.026475082806723e-4,0.01649999999999996,0.017199999999999993,Severity,Severity,"-0.001 (0.933, 0.933)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,100,0,0,0,4,0,0.0010158940293882959,no_weight,0.0010158940293882959,0.07596506521029993,0.9348,0.9348,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=4","rho_xy=0, rho_uv=0; eta_x=0, eta_y=4",0.0010158940293882959,0.0010158940293882959,0,0,0.015199999999999991,0.015199999999999991,Severity,Severity,"0.001 (0.935, 0.935)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,100,0,0,0,4,0,0.0010158940293882959,CW,9.548603657864026e-4,0.07685659668009437,0.9351,0.9347,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=4","rho_xy=0, rho_uv=0; eta_x=0, eta_y=4",9.548603657864026e-4,9.548603657864026e-4,-6.103366360189332e-5,6.103366360189332e-5,0.014899999999999913,0.01529999999999998,Severity,Severity,"0.001 (0.935, 0.935)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,100,0,0,0,4,0,0.0010158940293882959,PPW,3.240557692893281e-4,0.03744601695553715,0.9447,0.945,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=4","rho_xy=0, rho_uv=0; eta_x=0, eta_y=4",3.240557692893281e-4,3.240557692893281e-4,-6.918382600989677e-4,6.918382600989677e-4,0.005299999999999971,0.0050000000000000044,Severity,Severity,"0.000 (0.945, 0.945)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,100,0,0,0,4,0,0.0010158940293882959,OPW,5.012413032594652e-4,0.05807403722489805,0.934,0.9346,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=4","rho_xy=0, rho_uv=0; eta_x=0, eta_y=4",5.012413032594652e-4,5.012413032594652e-4,-5.146527261288307e-4,5.146527261288307e-4,0.015999999999999903,0.01539999999999997,Severity,Severity,"0.001 (0.934, 0.935)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,100,0,0,0,4,0,0.0010158940293882959,MOPW,6.153592385881115e-4,0.06332723338167272,0.9283,0.9279,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=4","rho_xy=0, rho_uv=0; eta_x=0, eta_y=4",6.153592385881115e-4,6.153592385881115e-4,-4.0053479080018437e-4,4.0053479080018437e-4,0.02169999999999994,0.02210000000000001,Severity,Severity,"0.001 (0.928, 0.928)"
