correlation_measure,rho_xy,rho_uv,rho_true,eta_x,eta_y,rho_obs_hat,no_weight,CW,PPW,OPW,MOPW
Pearson,0,0,0,0,0,-0.0011660153552113788,"-0.001 (0.934, 0.934)","-0.001 (0.934, 0.934)","-0.001 (0.947, 0.948)","-0.001 (0.937, 0.938)","-0.001 (0.933, 0.933)"
Pearson,0,0,0,0,4,0.0010158940293882959,"0.001 (0.935, 0.935)","0.001 (0.935, 0.935)","0.000 (0.945, 0.945)","0.001 (0.934, 0.935)","0.001 (0.928, 0.928)"
Pearson,0,0,0,4,0,-1.5835169472759096e-4,"-0.000 (0.933, 0.933)","-0.000 (0.935, 0.935)","-0.000 (0.946, 0.946)","-0.000 (0.938, 0.938)","-0.001 (0.933, 0.933)"
Pearson,0,0,0,4,4,0.04170465638901152,"0.042 (0.899, 0.925)","0.041 (0.903, 0.936)","0.018 (0.925, 0.903)","0.016 (0.928, 0.920)","0.010 (0.931, 0.906)"
Pearson,0,0.5,0.4,0,0,0.39759756691527215,"0.398 (0.938, 0.938)","0.398 (0.938, 0.937)","0.152 (0.000, 0.000)","0.268 (0.312, 0.325)","0.283 (0.443, 0.456)"
Pearson,0,0.5,0.4,0,4,0.31395107380266957,"0.314 (0.745, 0.936)","0.370 (0.922, 0.816)","0.158 (0.000, 0.007)","0.272 (0.344, 0.849)","0.289 (0.500, 0.893)"
Pearson,0,0.5,0.4,4,0,0.3126895715301946,"0.313 (0.741, 0.933)","0.369 (0.924, 0.818)","0.157 (0.000, 0.007)","0.271 (0.336, 0.849)","0.288 (0.502, 0.903)"
Pearson,0,0.5,0.4,4,4,0.3056901188388735,"0.306 (0.704, 0.922)","0.391 (0.935, 0.706)","0.178 (0.000, 0.097)","0.288 (0.468, 0.921)","0.300 (0.590, 0.926)"
Pearson,0.5,0,0.1,0,0,0.09996542732562726,"0.100 (0.931, 0.931)","0.100 (0.931, 0.931)","0.135 (0.838, 0.838)","0.080 (0.920, 0.920)","0.084 (0.924, 0.924)"
Pearson,0.5,0,0.1,0,4,0.07717370016043457,"0.077 (0.922, 0.928)","0.037 (0.855, 0.899)","0.112 (0.938, 0.863)","0.043 (0.825, 0.899)","0.035 (0.813, 0.883)"
Pearson,0.5,0,0.1,4,0,0.0777617865477644,"0.078 (0.921, 0.932)","0.037 (0.862, 0.907)","0.113 (0.931, 0.856)","0.044 (0.833, 0.900)","0.035 (0.818, 0.885)"
Pearson,0.5,0,0.1,4,4,0.10340704994244598,"0.103 (0.928, 0.927)","0.022 (0.811, 0.800)","0.113 (0.929, 0.933)","0.026 (0.776, 0.762)","0.001 (0.703, 0.688)"
Pearson,0.5,0.5,0.5,0,0,0.49768850758404126,"0.498 (0.934, 0.931)","0.498 (0.934, 0.931)","0.314 (0.000, 0.000)","0.372 (0.324, 0.335)","0.394 (0.497, 0.508)"
Pearson,0.5,0.5,0.5,0,4,0.4022938268694373,"0.402 (0.687, 0.933)","0.422 (0.790, 0.916)","0.296 (0.000, 0.182)","0.342 (0.192, 0.781)","0.356 (0.328, 0.848)"
Pearson,0.5,0.5,0.5,4,0,0.40267635441906474,"0.403 (0.685, 0.930)","0.423 (0.788, 0.910)","0.297 (0.000, 0.176)","0.342 (0.186, 0.775)","0.356 (0.327, 0.846)"
Pearson,0.5,0.5,0.5,4,4,0.3914005085004409,"0.391 (0.647, 0.928)","0.410 (0.763, 0.917)","0.303 (0.000, 0.414)","0.339 (0.230, 0.838)","0.344 (0.333, 0.861)"
