correlation_measure,rho_xy,rho_uv,rho_true,eta_x,eta_y,rho_obs_hat,no_weight,CW,PPW,OPW,MOPW
Phi,0,0,0,0,0,-0.0014323490426183215,"-0.001 (0.946, 0.946)","-0.001 (0.946, 0.946)","-0.000 (0.948, 0.950)","-0.001 (0.947, 0.947)","-0.001 (0.946, 0.947)"
Phi,0,0,0,0,4,7.311008787363624e-4,"0.001 (0.943, 0.943)","0.001 (0.942, 0.942)","0.001 (0.947, 0.947)","0.001 (0.943, 0.943)","0.001 (0.940, 0.940)"
Phi,0,0,0,4,0,2.490410009296811e-4,"0.000 (0.948, 0.948)","-0.000 (0.946, 0.946)","0.000 (0.953, 0.953)","-0.000 (0.944, 0.944)","-0.000 (0.944, 0.944)"
Phi,0,0,0,4,4,0.043377813680064346,"0.043 (0.836, 0.943)","0.031 (0.906, 0.936)","0.018 (0.913, 0.875)","0.020 (0.920, 0.912)","0.018 (0.928, 0.906)"
Phi,0,0.5,0.4,0,0,0.2608331005285745,"0.261 (0.272, 0.946)","0.261 (0.272, 0.946)","0.100 (0.000, 0.000)","0.181 (0.000, 0.463)","0.189 (0.001, 0.574)"
Phi,0,0.5,0.4,0,4,0.18790098472685463,"0.188 (0.006, 0.946)","0.244 (0.167, 0.804)","0.102 (0.000, 0.200)","0.182 (0.001, 0.945)","0.193 (0.003, 0.945)"
Phi,0,0.5,0.4,4,0,0.18723569228042444,"0.187 (0.006, 0.948)","0.244 (0.164, 0.805)","0.102 (0.000, 0.208)","0.182 (0.000, 0.946)","0.193 (0.003, 0.944)"
Phi,0,0.5,0.4,4,4,0.18517460077150996,"0.185 (0.003, 0.944)","0.257 (0.224, 0.719)","0.119 (0.000, 0.457)","0.198 (0.005, 0.935)","0.207 (0.016, 0.920)"
Phi,0.5,0,0.1,0,0,0.06338668813508624,"0.063 (0.902, 0.945)","0.063 (0.902, 0.945)","0.083 (0.927, 0.903)","0.037 (0.707, 0.911)","0.044 (0.771, 0.926)"
Phi,0.5,0,0.1,0,4,0.04434475451038139,"0.044 (0.817, 0.948)","0.016 (0.711, 0.923)","0.068 (0.869, 0.889)","0.013 (0.552, 0.898)","0.009 (0.566, 0.892)"
Phi,0.5,0,0.1,4,0,0.044949267528656765,"0.045 (0.818, 0.946)","0.017 (0.717, 0.924)","0.068 (0.871, 0.888)","0.014 (0.565, 0.901)","0.010 (0.574, 0.893)"
Phi,0.5,0,0.1,4,4,0.07656492228772825,"0.077 (0.917, 0.942)","0.006 (0.652, 0.780)","0.074 (0.904, 0.945)","0.012 (0.589, 0.755)","-0.003 (0.533, 0.692)"
Phi,0.5,0.5,0.5,0,0,0.33212965772632247,"0.332 (0.100, 0.944)","0.332 (0.099, 0.944)","0.204 (0.000, 0.013)","0.237 (0.000, 0.335)","0.254 (0.000, 0.539)"
Phi,0.5,0.5,0.5,0,4,0.24257635269784633,"0.243 (0.000, 0.943)","0.272 (0.007, 0.901)","0.191 (0.000, 0.666)","0.217 (0.000, 0.901)","0.228 (0.000, 0.931)"
Phi,0.5,0.5,0.5,4,0,0.24354980270960294,"0.244 (0.000, 0.944)","0.273 (0.007, 0.899)","0.192 (0.000, 0.662)","0.217 (0.000, 0.905)","0.228 (0.000, 0.930)"
Phi,0.5,0.5,0.5,4,4,0.23188754469218842,"0.232 (0.000, 0.945)","0.251 (0.002, 0.925)","0.197 (0.000, 0.836)","0.216 (0.000, 0.934)","0.220 (0.000, 0.937)"
