correlation_measure,rho_xy,rho_uv,rho_true,eta_x,eta_y,rho_obs_hat,no_weight,CW,PPW,OPW,MOPW
Spearman,0,0,0,0,0,-0.0015812187305292305,"-0.002 (0.942, 0.942)","-0.002 (0.942, 0.942)","-0.001 (0.948, 0.949)","-0.001 (0.945, 0.946)","-0.001 (0.943, 0.944)"
Spearman,0,0,0,0,4,0.0010022764341686675,"0.001 (0.944, 0.944)","0.001 (0.940, 0.940)","0.000 (0.945, 0.945)","0.000 (0.940, 0.940)","0.001 (0.939, 0.939)"
Spearman,0,0,0,4,0,3.201767344356244e-4,"0.000 (0.940, 0.940)","-0.000 (0.941, 0.941)","-0.000 (0.947, 0.948)","-0.000 (0.940, 0.940)","-0.000 (0.940, 0.940)"
Spearman,0,0,0,4,4,0.04362925835647742,"0.044 (0.889, 0.941)","0.044 (0.897, 0.938)","0.018 (0.916, 0.882)","0.018 (0.925, 0.913)","0.014 (0.932, 0.905)"
Spearman,0,0.5,0.4,0,0,0.3567328153447925,"0.357 (0.904, 0.941)","0.357 (0.903, 0.940)","0.110 (0.000, 0.000)","0.203 (0.003, 0.043)","0.214 (0.017, 0.111)"
Spearman,0,0.5,0.4,0,4,0.2750919863378724,"0.275 (0.493, 0.942)","0.335 (0.835, 0.806)","0.119 (0.000, 0.002)","0.217 (0.021, 0.743)","0.232 (0.083, 0.841)"
Spearman,0,0.5,0.4,4,0,0.2740932007064546,"0.274 (0.479, 0.944)","0.334 (0.830, 0.808)","0.118 (0.000, 0.002)","0.216 (0.022, 0.749)","0.231 (0.077, 0.842)"
Spearman,0,0.5,0.4,4,4,0.2632833213541534,"0.263 (0.394, 0.938)","0.355 (0.897, 0.654)","0.140 (0.000, 0.060)","0.238 (0.090, 0.911)","0.248 (0.188, 0.924)"
Spearman,0.5,0,0.1,0,0,0.08894472848453738,"0.089 (0.939, 0.938)","0.089 (0.939, 0.939)","0.112 (0.931, 0.889)","0.061 (0.858, 0.903)","0.064 (0.880, 0.913)"
Spearman,0.5,0,0.1,0,4,0.06700037094398834,"0.067 (0.919, 0.942)","0.028 (0.825, 0.909)","0.093 (0.946, 0.882)","0.029 (0.727, 0.886)","0.020 (0.704, 0.865)"
Spearman,0.5,0,0.1,4,0,0.06778315544283317,"0.068 (0.917, 0.942)","0.029 (0.835, 0.915)","0.094 (0.942, 0.881)","0.030 (0.730, 0.885)","0.021 (0.709, 0.865)"
Spearman,0.5,0,0.1,4,4,0.09574905373320955,"0.096 (0.941, 0.941)","0.016 (0.786, 0.802)","0.097 (0.942, 0.941)","0.019 (0.703, 0.726)","-0.005 (0.609, 0.635)"
Spearman,0.5,0.5,0.5,0,0,0.4501513459355887,"0.450 (0.885, 0.935)","0.450 (0.885, 0.936)","0.246 (0.000, 0.000)","0.285 (0.001, 0.021)","0.302 (0.007, 0.085)"
Spearman,0.5,0.5,0.5,0,4,0.3538802826569676,"0.354 (0.316, 0.938)","0.377 (0.508, 0.913)","0.235 (0.000, 0.047)","0.270 (0.000, 0.558)","0.280 (0.006, 0.688)"
Spearman,0.5,0.5,0.5,4,0,0.3547260669377105,"0.355 (0.323, 0.939)","0.378 (0.509, 0.909)","0.235 (0.000, 0.046)","0.270 (0.000, 0.549)","0.280 (0.006, 0.682)"
Spearman,0.5,0.5,0.5,4,4,0.3348800929158602,"0.335 (0.198, 0.941)","0.359 (0.409, 0.912)","0.243 (0.000, 0.252)","0.270 (0.002, 0.744)","0.271 (0.008, 0.781)"
