win_criterion,correlation_measure,rho_xy,rho_uv,eta_x,eta_y,PPW,CW,OPW,MOPW,no_weight
Coverage closest to 0.95 for observed rho,Pearson,0,0,0,0,25,1,1,1,0
Coverage closest to 0.95 for observed rho,Pearson,0,0,0,4,24,2,1,1,0
Coverage closest to 0.95 for observed rho,Pearson,0,0,4,0,24,2,1,1,0
Coverage closest to 0.95 for observed rho,Pearson,0,0,4,4,22,4,1,1,0
Coverage closest to 0.95 for observed rho,Pearson,0,0.5,0,0,1,22,4,3,0
Coverage closest to 0.95 for observed rho,Pearson,0,0.5,0,4,4,0,5,4,14
Coverage closest to 0.95 for observed rho,Pearson,0,0.5,4,0,4,0,6,2,15
Coverage closest to 0.95 for observed rho,Pearson,0,0.5,4,4,13,0,5,0,7
Coverage closest to 0.95 for observed rho,Pearson,0.5,0,0,0,13,0,4,0,8
Coverage closest to 0.95 for observed rho,Pearson,0.5,0,0,4,18,3,6,2,0
Coverage closest to 0.95 for observed rho,Pearson,0.5,0,4,0,19,0,4,2,2
Coverage closest to 0.95 for observed rho,Pearson,0.5,0,4,4,21,0,3,2,1
Coverage closest to 0.95 for observed rho,Pearson,0.5,0.5,0,0,3,16,7,4,0
Coverage closest to 0.95 for observed rho,Pearson,0.5,0.5,0,4,14,10,3,1,0
Coverage closest to 0.95 for observed rho,Pearson,0.5,0.5,4,0,13,0,3,0,9
Coverage closest to 0.95 for observed rho,Pearson,0.5,0.5,4,4,16,7,4,1,0
Coverage closest to 0.95 for observed rho,Phi,0,0,0,0,25,1,1,1,0
Coverage closest to 0.95 for observed rho,Phi,0,0,0,4,19,7,1,1,0
Coverage closest to 0.95 for observed rho,Phi,0,0,4,0,18,0,0,0,7
Coverage closest to 0.95 for observed rho,Phi,0,0,4,4,8,0,0,0,17
Coverage closest to 0.95 for observed rho,Phi,0,0.5,0,0,0,0,1,1,25
Coverage closest to 0.95 for observed rho,Phi,0,0.5,0,4,2,0,1,0,23
Coverage closest to 0.95 for observed rho,Phi,0,0.5,4,0,3,0,4,1,19
Coverage closest to 0.95 for observed rho,Phi,0,0.5,4,4,3,0,0,0,23
Coverage closest to 0.95 for observed rho,Phi,0.5,0,0,0,5,0,5,1,14
Coverage closest to 0.95 for observed rho,Phi,0.5,0,0,4,9,0,4,1,12
Coverage closest to 0.95 for observed rho,Phi,0.5,0,4,0,10,0,5,2,9
