correlation_measure,rho_xy,rho_uv,eta_x,eta_y,winning_weight,n_wins,total_wins,prop_wins
Pearson,0,0,0,0,PPW,25,28,0.8928571428571429
Pearson,0,0,0,0,CW,1,28,0.03571428571428571
Pearson,0,0,0,0,OPW,1,28,0.03571428571428571
Pearson,0,0,0,0,MOPW,1,28,0.03571428571428571
Pearson,0,0,0,4,PPW,24,28,0.8571428571428571
Pearson,0,0,0,4,CW,2,28,0.07142857142857142
Pearson,0,0,0,4,OPW,1,28,0.03571428571428571
Pearson,0,0,0,4,MOPW,1,28,0.03571428571428571
Pearson,0,0,4,0,PPW,24,28,0.8571428571428571
Pearson,0,0,4,0,CW,2,28,0.07142857142857142
Pearson,0,0,4,0,OPW,1,28,0.03571428571428571
Pearson,0,0,4,0,MOPW,1,28,0.03571428571428571
Pearson,0,0,4,4,PPW,22,28,0.7857142857142857
Pearson,0,0,4,4,CW,4,28,0.14285714285714285
Pearson,0,0,4,4,OPW,1,28,0.03571428571428571
Pearson,0,0,4,4,MOPW,1,28,0.03571428571428571
Pearson,0,0.5,0,0,CW,22,30,0.7333333333333333
Pearson,0,0.5,0,0,OPW,4,30,0.13333333333333333
Pearson,0,0.5,0,0,MOPW,3,30,0.1
Pearson,0,0.5,0,0,PPW,1,30,0.03333333333333333
Pearson,0,0.5,0,4,no_weight,14,27,0.5185185185185185
Pearson,0,0.5,0,4,OPW,5,27,0.18518518518518517
Pearson,0,0.5,0,4,PPW,4,27,0.14814814814814814
Pearson,0,0.5,0,4,MOPW,4,27,0.14814814814814814
Pearson,0,0.5,4,0,no_weight,15,27,0.5555555555555556
Pearson,0,0.5,4,0,OPW,6,27,0.2222222222222222
Pearson,0,0.5,4,0,PPW,4,27,0.14814814814814814
Pearson,0,0.5,4,0,MOPW,2,27,0.07407407407407407
Pearson,0,0.5,4,4,PPW,13,25,0.52
Pearson,0,0.5,4,4,no_weight,7,25,0.28
Pearson,0,0.5,4,4,OPW,5,25,0.2
Pearson,0.5,0,0,0,PPW,13,25,0.52
Pearson,0.5,0,0,0,no_weight,8,25,0.32
Pearson,0.5,0,0,0,OPW,4,25,0.16
Pearson,0.5,0,0,4,PPW,18,29,0.6206896551724138
Pearson,0.5,0,0,4,OPW,6,29,0.20689655172413793
Pearson,0.5,0,0,4,CW,3,29,0.10344827586206896
Pearson,0.5,0,0,4,MOPW,2,29,0.06896551724137931
Pearson,0.5,0,4,0,PPW,19,27,0.7037037037037037
Pearson,0.5,0,4,0,OPW,4,27,0.14814814814814814
Pearson,0.5,0,4,0,no_weight,2,27,0.07407407407407407
Pearson,0.5,0,4,0,MOPW,2,27,0.07407407407407407
Pearson,0.5,0,4,4,PPW,21,27,0.7777777777777778
Pearson,0.5,0,4,4,OPW,3,27,0.1111111111111111
Pearson,0.5,0,4,4,MOPW,2,27,0.07407407407407407
Pearson,0.5,0,4,4,no_weight,1,27,0.037037037037037035
Pearson,0.5,0.5,0,0,CW,16,30,0.5333333333333333
Pearson,0.5,0.5,0,0,OPW,7,30,0.23333333333333334
Pearson,0.5,0.5,0,0,MOPW,4,30,0.13333333333333333
Pearson,0.5,0.5,0,0,PPW,3,30,0.1
Pearson,0.5,0.5,0,4,PPW,14,28,0.5
Pearson,0.5,0.5,0,4,CW,10,28,0.35714285714285715
Pearson,0.5,0.5,0,4,OPW,3,28,0.10714285714285714
Pearson,0.5,0.5,0,4,MOPW,1,28,0.03571428571428571
Pearson,0.5,0.5,4,0,PPW,13,25,0.52
Pearson,0.5,0.5,4,0,no_weight,9,25,0.36
Pearson,0.5,0.5,4,0,OPW,3,25,0.12
Pearson,0.5,0.5,4,4,PPW,16,28,0.5714285714285714
Pearson,0.5,0.5,4,4,CW,7,28,0.25
Pearson,0.5,0.5,4,4,OPW,4,28,0.14285714285714285
Pearson,0.5,0.5,4,4,MOPW,1,28,0.03571428571428571
Phi,0,0,0,0,PPW,25,28,0.8928571428571429
Phi,0,0,0,0,CW,1,28,0.03571428571428571
Phi,0,0,0,0,OPW,1,28,0.03571428571428571
Phi,0,0,0,0,MOPW,1,28,0.03571428571428571
Phi,0,0,0,4,PPW,19,28,0.6785714285714286
Phi,0,0,0,4,CW,7,28,0.25
Phi,0,0,0,4,OPW,1,28,0.03571428571428571
Phi,0,0,0,4,MOPW,1,28,0.03571428571428571
Phi,0,0,4,0,PPW,18,25,0.72
Phi,0,0,4,0,no_weight,7,25,0.28
Phi,0,0,4,4,no_weight,17,25,0.68
Phi,0,0,4,4,PPW,8,25,0.32
Phi,0,0.5,0,0,no_weight,25,27,0.9259259259259259
Phi,0,0.5,0,0,OPW,1,27,0.037037037037037035
Phi,0,0.5,0,0,MOPW,1,27,0.037037037037037035
Phi,0,0.5,0,4,no_weight,23,26,0.8846153846153846
Phi,0,0.5,0,4,PPW,2,26,0.07692307692307693
Phi,0,0.5,0,4,OPW,1,26,0.038461538461538464
Phi,0,0.5,4,0,no_weight,19,27,0.7037037037037037
Phi,0,0.5,4,0,OPW,4,27,0.14814814814814814
Phi,0,0.5,4,0,PPW,3,27,0.1111111111111111
Phi,0,0.5,4,0,MOPW,1,27,0.037037037037037035
Phi,0,0.5,4,4,no_weight,23,26,0.8846153846153846
Phi,0,0.5,4,4,PPW,3,26,0.11538461538461539
Phi,0.5,0,0,0,no_weight,14,25,0.56
Phi,0.5,0,0,0,PPW,5,25,0.2
Phi,0.5,0,0,0,OPW,5,25,0.2
Phi,0.5,0,0,0,MOPW,1,25,0.04
Phi,0.5,0,0,4,no_weight,12,26,0.46153846153846156
Phi,0.5,0,0,4,PPW,9,26,0.34615384615384615
Phi,0.5,0,0,4,OPW,4,26,0.15384615384615385
Phi,0.5,0,0,4,MOPW,1,26,0.038461538461538464
Phi,0.5,0,4,0,PPW,10,26,0.38461538461538464
Phi,0.5,0,4,0,no_weight,9,26,0.34615384615384615
Phi,0.5,0,4,0,OPW,5,26,0.19230769230769232
Phi,0.5,0,4,0,MOPW,2,26,0.07692307692307693
