correlation_measure,rho_xy,rho_uv,eta_x,eta_y,winning_weight,n_wins,total_wins,prop_wins
Pearson,0,0,0,0,PPW,24,25,0.96
Pearson,0,0,0,0,no_weight,1,25,0.04
Pearson,0,0,0,4,PPW,24,28,0.8571428571428571
Pearson,0,0,0,4,CW,2,28,0.07142857142857142
Pearson,0,0,0,4,OPW,1,28,0.03571428571428571
Pearson,0,0,0,4,MOPW,1,28,0.03571428571428571
Pearson,0,0,4,0,PPW,24,28,0.8571428571428571
Pearson,0,0,4,0,CW,2,28,0.07142857142857142
Pearson,0,0,4,0,OPW,1,28,0.03571428571428571
Pearson,0,0,4,0,MOPW,1,28,0.03571428571428571
Pearson,0,0,4,4,PPW,24,28,0.8571428571428571
Pearson,0,0,4,4,OPW,2,28,0.07142857142857142
Pearson,0,0,4,4,CW,1,28,0.03571428571428571
Pearson,0,0,4,4,MOPW,1,28,0.03571428571428571
Pearson,0,0.5,0,0,CW,23,30,0.7666666666666667
Pearson,0,0.5,0,0,OPW,3,30,0.1
Pearson,0,0.5,0,0,MOPW,3,30,0.1
Pearson,0,0.5,0,0,PPW,1,30,0.03333333333333333
Pearson,0,0.5,0,4,CW,24,29,0.8275862068965517
Pearson,0,0.5,0,4,OPW,2,29,0.06896551724137931
Pearson,0,0.5,0,4,MOPW,2,29,0.06896551724137931
Pearson,0,0.5,0,4,PPW,1,29,0.034482758620689655
Pearson,0,0.5,4,0,CW,24,29,0.8275862068965517
Pearson,0,0.5,4,0,OPW,2,29,0.06896551724137931
Pearson,0,0.5,4,0,MOPW,2,29,0.06896551724137931
Pearson,0,0.5,4,0,PPW,1,29,0.034482758620689655
Pearson,0,0.5,4,4,CW,23,30,0.7666666666666667
Pearson,0,0.5,4,4,OPW,3,30,0.1
Pearson,0,0.5,4,4,MOPW,3,30,0.1
Pearson,0,0.5,4,4,PPW,1,30,0.03333333333333333
Pearson,0.5,0,0,0,PPW,13,37,0.35135135135135137
Pearson,0.5,0,0,0,no_weight,9,37,0.24324324324324326
Pearson,0.5,0,0,0,CW,9,37,0.24324324324324326
Pearson,0.5,0,0,0,OPW,5,37,0.13513513513513514
Pearson,0.5,0,0,0,MOPW,1,37,0.02702702702702703
Pearson,0.5,0,0,4,PPW,20,27,0.7407407407407407
Pearson,0.5,0,0,4,OPW,4,27,0.14814814814814814
Pearson,0.5,0,0,4,MOPW,2,27,0.07407407407407407
Pearson,0.5,0,0,4,no_weight,1,27,0.037037037037037035
Pearson,0.5,0,4,0,PPW,21,27,0.7777777777777778
Pearson,0.5,0,4,0,OPW,3,27,0.1111111111111111
Pearson,0.5,0,4,0,MOPW,2,27,0.07407407407407407
Pearson,0.5,0,4,0,no_weight,1,27,0.037037037037037035
Pearson,0.5,0,4,4,PPW,21,27,0.7777777777777778
Pearson,0.5,0,4,4,OPW,3,27,0.1111111111111111
Pearson,0.5,0,4,4,MOPW,2,27,0.07407407407407407
Pearson,0.5,0,4,4,no_weight,1,27,0.037037037037037035
Pearson,0.5,0.5,0,0,no_weight,19,27,0.7037037037037037
Pearson,0.5,0.5,0,0,OPW,4,27,0.14814814814814814
Pearson,0.5,0.5,0,0,PPW,2,27,0.07407407407407407
Pearson,0.5,0.5,0,0,MOPW,2,27,0.07407407407407407
Pearson,0.5,0.5,0,4,CW,21,30,0.7
Pearson,0.5,0.5,0,4,OPW,4,30,0.13333333333333333
Pearson,0.5,0.5,0,4,MOPW,4,30,0.13333333333333333
Pearson,0.5,0.5,0,4,PPW,1,30,0.03333333333333333
Pearson,0.5,0.5,4,0,CW,21,30,0.7
Pearson,0.5,0.5,4,0,OPW,5,30,0.16666666666666666
Pearson,0.5,0.5,4,0,MOPW,3,30,0.1
Pearson,0.5,0.5,4,0,PPW,1,30,0.03333333333333333
Pearson,0.5,0.5,4,4,CW,21,30,0.7
Pearson,0.5,0.5,4,4,OPW,5,30,0.16666666666666666
Pearson,0.5,0.5,4,4,MOPW,3,30,0.1
Pearson,0.5,0.5,4,4,PPW,1,30,0.03333333333333333
Phi,0,0,0,0,PPW,24,25,0.96
Phi,0,0,0,0,no_weight,1,25,0.04
Phi,0,0,0,4,PPW,19,35,0.5428571428571428
Phi,0,0,0,4,no_weight,7,35,0.2
Phi,0,0,0,4,CW,7,35,0.2
Phi,0,0,0,4,OPW,1,35,0.02857142857142857
Phi,0,0,0,4,MOPW,1,35,0.02857142857142857
Phi,0,0,4,0,PPW,19,26,0.7307692307692307
Phi,0,0,4,0,no_weight,7,26,0.2692307692307692
Phi,0,0,4,4,PPW,16,29,0.5517241379310345
Phi,0,0,4,4,CW,9,29,0.3103448275862069
Phi,0,0,4,4,OPW,2,29,0.06896551724137931
Phi,0,0,4,4,MOPW,2,29,0.06896551724137931
Phi,0,0.5,0,0,no_weight,22,27,0.8148148148148148
Phi,0,0.5,0,0,MOPW,3,27,0.1111111111111111
Phi,0,0.5,0,0,OPW,2,27,0.07407407407407407
Phi,0,0.5,0,4,CW,24,29,0.8275862068965517
Phi,0,0.5,0,4,OPW,2,29,0.06896551724137931
Phi,0,0.5,0,4,MOPW,2,29,0.06896551724137931
Phi,0,0.5,0,4,PPW,1,29,0.034482758620689655
Phi,0,0.5,4,0,CW,21,30,0.7
Phi,0,0.5,4,0,OPW,4,30,0.13333333333333333
Phi,0,0.5,4,0,MOPW,4,30,0.13333333333333333
Phi,0,0.5,4,0,PPW,1,30,0.03333333333333333
Phi,0,0.5,4,4,CW,22,30,0.7333333333333333
Phi,0,0.5,4,4,OPW,4,30,0.13333333333333333
Phi,0,0.5,4,4,MOPW,3,30,0.1
Phi,0,0.5,4,4,PPW,1,30,0.03333333333333333
Phi,0.5,0,0,0,PPW,22,27,0.8148148148148148
Phi,0.5,0,0,0,OPW,2,27,0.07407407407407407
Phi,0.5,0,0,0,MOPW,2,27,0.07407407407407407
Phi,0.5,0,0,0,no_weight,1,27,0.037037037037037035
Phi,0.5,0,0,4,PPW,21,25,0.84
Phi,0.5,0,0,4,no_weight,3,25,0.12
Phi,0.5,0,0,4,MOPW,1,25,0.04
Phi,0.5,0,4,0,PPW,20,25,0.8
Phi,0.5,0,4,0,no_weight,4,25,0.16
Phi,0.5,0,4,0,OPW,1,25,0.04
