correlation_measure,rho_xy,rho_uv,eta_x,eta_y,winning_weight,n_wins,total_wins,prop_wins
Pearson,0,0,0,0,no_weight,25,25,1
Pearson,0,0,0,4,no_weight,25,25,1
Pearson,0,0,4,0,no_weight,25,25,1
Pearson,0,0,4,4,no_weight,25,25,1
Pearson,0,0.5,0,0,no_weight,25,25,1
Pearson,0,0.5,0,4,no_weight,25,25,1
Pearson,0,0.5,4,0,no_weight,25,25,1
Pearson,0,0.5,4,4,no_weight,25,25,1
Pearson,0.5,0,0,0,no_weight,25,25,1
Pearson,0.5,0,0,4,no_weight,25,25,1
Pearson,0.5,0,4,0,no_weight,25,25,1
Pearson,0.5,0,4,4,no_weight,25,25,1
Pearson,0.5,0.5,0,0,no_weight,25,25,1
Pearson,0.5,0.5,0,4,no_weight,25,25,1
Pearson,0.5,0.5,4,0,no_weight,25,25,1
Pearson,0.5,0.5,4,4,no_weight,25,25,1
Phi,0,0,0,0,no_weight,25,25,1
Phi,0,0,0,4,no_weight,25,25,1
Phi,0,0,4,0,no_weight,25,25,1
Phi,0,0,4,4,no_weight,25,25,1
Phi,0,0.5,0,0,no_weight,25,25,1
Phi,0,0.5,0,4,no_weight,25,25,1
Phi,0,0.5,4,0,no_weight,25,25,1
Phi,0,0.5,4,4,no_weight,25,25,1
Phi,0.5,0,0,0,no_weight,25,25,1
Phi,0.5,0,0,4,no_weight,25,25,1
Phi,0.5,0,4,0,no_weight,25,25,1
Phi,0.5,0,4,4,no_weight,25,25,1
Phi,0.5,0.5,0,0,no_weight,25,25,1
Phi,0.5,0.5,0,4,no_weight,25,25,1
Phi,0.5,0.5,4,0,no_weight,25,25,1
Phi,0.5,0.5,4,4,no_weight,25,25,1
Spearman,0,0,0,0,no_weight,25,25,1
Spearman,0,0,0,4,no_weight,25,25,1
Spearman,0,0,4,0,no_weight,25,25,1
Spearman,0,0,4,4,no_weight,25,25,1
Spearman,0,0.5,0,0,no_weight,25,25,1
Spearman,0,0.5,0,4,no_weight,25,25,1
Spearman,0,0.5,4,0,no_weight,25,25,1
Spearman,0,0.5,4,4,no_weight,25,25,1
Spearman,0.5,0,0,0,no_weight,25,25,1
Spearman,0.5,0,0,4,no_weight,25,25,1
Spearman,0.5,0,4,0,no_weight,25,25,1
Spearman,0.5,0,4,4,no_weight,25,25,1
Spearman,0.5,0.5,0,0,no_weight,25,25,1
Spearman,0.5,0.5,0,4,no_weight,25,25,1
Spearman,0.5,0.5,4,0,no_weight,25,25,1
Spearman,0.5,0.5,4,4,no_weight,25,25,1
