correlation_measure,rho_xy,rho_uv,eta_x,eta_y,winning_weight,n_wins,total_wins,prop_wins
Pearson,0,0,0,0,PPW,16,29,0.5517241379310345
Pearson,0,0,0,0,CW,9,29,0.3103448275862069
Pearson,0,0,0,0,OPW,2,29,0.06896551724137931
Pearson,0,0,0,0,MOPW,2,29,0.06896551724137931
Pearson,0,0,0,4,CW,18,30,0.6
Pearson,0,0,0,4,PPW,5,30,0.16666666666666666
Pearson,0,0,0,4,MOPW,4,30,0.13333333333333333
Pearson,0,0,0,4,OPW,3,30,0.1
Pearson,0,0,4,0,CW,23,28,0.8214285714285714
Pearson,0,0,4,0,PPW,3,28,0.10714285714285714
Pearson,0,0,4,0,OPW,1,28,0.03571428571428571
Pearson,0,0,4,0,MOPW,1,28,0.03571428571428571
Pearson,0,0,4,4,OPW,11,31,0.3548387096774194
Pearson,0,0,4,4,MOPW,11,31,0.3548387096774194
Pearson,0,0,4,4,PPW,8,31,0.25806451612903225
Pearson,0,0,4,4,no_weight,1,31,0.03225806451612903
Pearson,0,0.5,0,0,no_weight,25,25,1
Pearson,0,0.5,0,4,CW,25,28,0.8928571428571429
Pearson,0,0.5,0,4,PPW,1,28,0.03571428571428571
Pearson,0,0.5,0,4,OPW,1,28,0.03571428571428571
Pearson,0,0.5,0,4,MOPW,1,28,0.03571428571428571
Pearson,0,0.5,4,0,CW,25,28,0.8928571428571429
Pearson,0,0.5,4,0,PPW,1,28,0.03571428571428571
Pearson,0,0.5,4,0,OPW,1,28,0.03571428571428571
Pearson,0,0.5,4,0,MOPW,1,28,0.03571428571428571
Pearson,0,0.5,4,4,CW,25,28,0.8928571428571429
Pearson,0,0.5,4,4,PPW,1,28,0.03571428571428571
Pearson,0,0.5,4,4,OPW,1,28,0.03571428571428571
Pearson,0,0.5,4,4,MOPW,1,28,0.03571428571428571
Pearson,0.5,0,0,0,CW,24,28,0.8571428571428571
Pearson,0.5,0,0,0,MOPW,2,28,0.07142857142857142
Pearson,0.5,0,0,0,PPW,1,28,0.03571428571428571
Pearson,0.5,0,0,0,OPW,1,28,0.03571428571428571
Pearson,0.5,0,0,4,no_weight,13,26,0.5
Pearson,0.5,0,0,4,PPW,8,26,0.3076923076923077
Pearson,0.5,0,0,4,OPW,4,26,0.15384615384615385
Pearson,0.5,0,0,4,MOPW,1,26,0.038461538461538464
Pearson,0.5,0,4,0,no_weight,13,26,0.5
Pearson,0.5,0,4,0,PPW,8,26,0.3076923076923077
Pearson,0.5,0,4,0,OPW,4,26,0.15384615384615385
Pearson,0.5,0,4,0,MOPW,1,26,0.038461538461538464
Pearson,0.5,0,4,4,no_weight,20,25,0.8
