correlation_measure,rho_xy,rho_uv,rho_true,eta_x,eta_y,rho_obs_hat,no_weight,CW,PPW,OPW,MOPW
Pearson,0,0,0,0,0,-0.0025,"-0.002 (0.879, 0.879)","-0.002 (0.879, 0.880)","-0.001 (0.926, 0.927)","-0.001 (0.892, 0.891)","-0.001 (0.883, 0.884)"
Pearson,0,0,0,0,4,-0.0007,"-0.001 (0.868, 0.868)","-0.000 (0.876, 0.876)","-0.000 (0.923, 0.923)","-0.000 (0.887, 0.886)","-0.000 (0.875, 0.875)"
Pearson,0,0,0,4,0,0.0007,"0.001 (0.860, 0.860)","0.000 (0.869, 0.870)","-0.000 (0.917, 0.917)","0.000 (0.880, 0.880)","-0.000 (0.867, 0.868)"
Pearson,0,0,0,4,4,0.0365,"0.036 (0.861, 0.860)","0.041 (0.869, 0.879)","0.018 (0.911, 0.912)","0.017 (0.879, 0.881)","0.012 (0.867, 0.867)"
Pearson,0,0.5,0.4,0,0,0.3832,"0.383 (0.881, 0.873)","0.383 (0.882, 0.873)","0.150 (0.074, 0.113)","0.254 (0.614, 0.662)","0.265 (0.638, 0.683)"
Pearson,0,0.5,0.4,0,4,0.3035,"0.304 (0.826, 0.863)","0.358 (0.882, 0.834)","0.158 (0.140, 0.542)","0.260 (0.676, 0.860)","0.273 (0.709, 0.853)"
Pearson,0,0.5,0.4,4,0,0.3022,"0.302 (0.827, 0.862)","0.357 (0.878, 0.833)","0.157 (0.143, 0.549)","0.259 (0.676, 0.857)","0.273 (0.705, 0.853)"
Pearson,0,0.5,0.4,4,4,0.2951,"0.295 (0.777, 0.844)","0.380 (0.875, 0.788)","0.179 (0.268, 0.715)","0.279 (0.750, 0.880)","0.288 (0.756, 0.867)"
Pearson,0.5,0,0.1,0,0,0.1086,"0.109 (0.867, 0.869)","0.109 (0.867, 0.869)","0.143 (0.886, 0.896)","0.095 (0.884, 0.884)","0.099 (0.870, 0.871)"
Pearson,0.5,0,0.1,0,4,0.0894,"0.089 (0.875, 0.875)","0.048 (0.870, 0.875)","0.121 (0.911, 0.903)","0.059 (0.876, 0.884)","0.052 (0.863, 0.867)"
Pearson,0.5,0,0.1,4,0,0.0912,"0.091 (0.871, 0.870)","0.050 (0.866, 0.869)","0.123 (0.908, 0.902)","0.060 (0.875, 0.878)","0.053 (0.857, 0.862)"
Pearson,0.5,0,0.1,4,4,0.1066,"0.107 (0.861, 0.860)","0.031 (0.854, 0.849)","0.120 (0.909, 0.911)","0.041 (0.863, 0.858)","0.019 (0.834, 0.830)"
Pearson,0.5,0.5,0.5,0,0,0.4934,"0.493 (0.874, 0.870)","0.493 (0.873, 0.870)","0.321 (0.329, 0.364)","0.372 (0.674, 0.694)","0.389 (0.710, 0.729)"
