correlation_measure,best_weight_true_bias,n_wins,prop_wins
Pearson,no_weight,72,0.15859030837004406
Pearson,CW,227,0.5
Pearson,PPW,61,0.1343612334801762
Pearson,OPW,53,0.11674008810572688
Pearson,MOPW,41,0.09030837004405286
Phi,no_weight,64,0.13822894168466524
Phi,CW,183,0.3952483801295896
Phi,PPW,98,0.21166306695464362
Phi,OPW,61,0.13174946004319654
Phi,MOPW,57,0.12311015118790497
Spearman,no_weight,106,0.23348017621145375
Spearman,CW,186,0.40969162995594716
Spearman,PPW,58,0.1277533039647577
Spearman,OPW,61,0.1343612334801762
Spearman,MOPW,43,0.0947136563876652
