correlation_measure,subgrouping,M,rho_xy,rho_uv,eta_x,eta_y,rho_true,rho_obs_hat,best_weight_true_bias,mean_estimate,abs_bias_true,coverage_true,coverage_obs
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0,0,0,0,-0.00245721773328369,CW,-0.0024424758816690953,0.0024424758816690953,0.8788,0.8796
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0,0,4,0,-7.43056826832932e-4,CW,-4.254063467946233e-4,4.254063467946233e-4,0.8762,0.8764
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0,4,0,0,7.463224918980348e-4,CW,1.4931561307981805e-4,1.4931561307981805e-4,0.8691,0.8696
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0,4,4,0,0.03646026958428305,PPW,0.02756367399017206,0.02756367399017206,0.9052,0.9175
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0.5,0,0,0.4,0.3831791367499273,no_weight,0.3831791367499273,0.016820863250072704,0.8813,0.8732
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.04236981340478857,0.882,0.8343
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.04284824617296268,0.8777,0.8325
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.01955604175300596,0.8751,0.7884
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0,0,0,0.1,0.10855073650778706,CW,0.10853302457191386,0.00853302457191385,0.8674,0.8687
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.10677164525142614,0.006771645251426137,0.9148,0.9045
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.10762521415273663,0.00762521415273662,0.9097,0.9035
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.09959607227489557,4.039277251044332e-4,0.9082,0.9098
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.006594583818316957,0.8731,0.8702
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.08463123556555208,0.8679,0.863
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.41814564250841846,0.08185435749158154,0.87,0.8571
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.09102583703196265,0.8613,0.8567
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0,0,0,0,-0.00245721773328369,PPW,0.0023234048332599175,0.0023234048332599175,0.9208,0.9203
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0,0,4,0,-7.43056826832932e-4,CW,-4.254063467946233e-4,4.254063467946233e-4,0.8762,0.8764
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0,4,0,0,7.463224918980348e-4,CW,1.4931561307981805e-4,1.4931561307981805e-4,0.8691,0.8696
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0,4,4,0,0.03646026958428305,PPW,0.021710132959797124,0.021710132959797124,0.9134,0.9128
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0.5,0,0,0.4,0.3831791367499273,no_weight,0.3831791367499273,0.016820863250072704,0.8813,0.8732
