correlation_measure,subgrouping,M,rho_xy,rho_uv,eta_x,eta_y,rho_true,rho_obs_hat,best_weight_coverage_obs,mean_estimate,coverage_obs,coverage_obs_dist,coverage_true
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0,0,0,0,-0.00245721773328369,PPW,-0.004217476765818527,0.9186,0.031399999999999983,0.9186
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0,0,4,0,-7.43056826832932e-4,PPW,0.002259882060034294,0.9172,0.03279999999999994,0.9179
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0,4,0,0,7.463224918980348e-4,PPW,0.002972240644136788,0.9157,0.0343,0.9149
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0,4,4,0,0.03646026958428305,PPW,0.02756367399017206,0.9175,0.03249999999999997,0.9052
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8734,0.0766,0.8823
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0.5,0,4,0.4,0.3035321317014306,no_weight,0.3035321317014306,0.8632,0.08679999999999999,0.8263
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0.5,4,0,0.4,0.3022048754100082,no_weight,0.3022048754100082,0.8618,0.08819999999999995,0.8271
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0.5,4,4,0.4,0.29509744910188507,no_weight,0.29509744910188507,0.8435,0.10649999999999993,0.7775
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0,0,0,0.1,0.10855073650778706,PPW,0.13383709795306864,0.8932,0.05679999999999996,0.8817
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.10677164525142614,0.9045,0.045499999999999985,0.9148
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.10762521415273663,0.9035,0.046499999999999986,0.9097
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.09959607227489557,0.9098,0.0401999999999999,0.9082
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.8702,0.07979999999999998,0.8731
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.863,0.08699999999999997,0.8679
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,no_weight,0.40144653552974946,0.8597,0.09029999999999994,0.8349
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.8567,0.09329999999999994,0.8613
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0,0,0,0,-0.00245721773328369,PPW,0.0023234048332599175,0.9203,0.02969999999999995,0.9208
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0,0,4,0,-7.43056826832932e-4,PPW,-0.0032279896918974175,0.9195,0.03049999999999997,0.9207
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0,4,0,0,7.463224918980348e-4,PPW,0.011181258459524494,0.9142,0.03579999999999994,0.9132
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0,4,4,0,0.03646026958428305,PPW,0.021710132959797124,0.9128,0.03720000000000001,0.9134
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8734,0.0766,0.8823
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0.5,0,4,0.4,0.3035321317014306,no_weight,0.3035321317014306,0.8632,0.08679999999999999,0.8263
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0.5,4,0,0.4,0.3022048754100082,no_weight,0.3022048754100082,0.8618,0.08819999999999995,0.8271
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0.5,4,4,0.4,0.29509744910188507,no_weight,0.29509744910188507,0.8435,0.10649999999999993,0.7775
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0,0,0,0.1,0.10855073650778706,PPW,0.1422510462762961,0.8875,0.0625,0.875
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.10112439491776302,0.9086,0.04139999999999999,0.915
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.12252088537690167,0.8913,0.058699999999999974,0.9006
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.09828232692195338,0.911,0.038999999999999924,0.9117
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.8702,0.07979999999999998,0.8731
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.863,0.08699999999999997,0.8679
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,no_weight,0.40144653552974946,0.8597,0.09029999999999994,0.8349
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.8567,0.09329999999999994,0.8613
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0,0,0,0,-0.00245721773328369,PPW,0.00894508474681257,0.9095,0.04049999999999998,0.9119
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0,0,4,0,-7.43056826832932e-4,PPW,-0.008741289908571209,0.9131,0.03689999999999993,0.9131
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0,4,0,0,7.463224918980348e-4,PPW,0.023757441368484396,0.8945,0.055499999999999994,0.894
