correlation_measure,subgrouping,M,rho_xy,rho_uv,eta_x,eta_y,rho_true,rho_obs_hat,best_weight_coverage_true,mean_estimate,coverage_true,coverage_true_dist,coverage_obs
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0,0,0,0,-0.00245721773328369,PPW,-0.004217476765818527,0.9186,0.031399999999999983,0.9186
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0,0,4,0,-7.43056826832932e-4,PPW,0.002259882060034294,0.9179,0.032099999999999906,0.9172
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0,4,0,0,7.463224918980348e-4,PPW,0.002972240644136788,0.9149,0.03509999999999991,0.9157
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0,4,4,0,0.03646026958428305,PPW,0.02756367399017206,0.9052,0.04479999999999995,0.9175
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8823,0.06769999999999998,0.8734
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.882,0.06799999999999995,0.8343
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.8777,0.07229999999999992,0.8325
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.8751,0.07489999999999997,0.7884
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0,0,0,0.1,0.10855073650778706,PPW,0.13383709795306864,0.8817,0.06829999999999992,0.8932
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.10677164525142614,0.9148,0.03520000000000001,0.9045
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.10762521415273663,0.9097,0.0403,0.9035
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.09959607227489557,0.9082,0.04179999999999995,0.9098
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,no_weight,0.4933990071000003,0.8738,0.07619999999999993,0.8696
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.8679,0.08209999999999995,0.863
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.41814564250841846,0.87,0.07999999999999996,0.8571
Pearson,L_Y_dich_1_5__K_X_dich_1_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.8613,0.0887,0.8567
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0,0,0,0,-0.00245721773328369,PPW,0.0023234048332599175,0.9208,0.029200000000000004,0.9203
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0,0,4,0,-7.43056826832932e-4,PPW,-0.0032279896918974175,0.9207,0.029299999999999993,0.9195
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0,4,0,0,7.463224918980348e-4,PPW,0.011181258459524494,0.9132,0.036799999999999944,0.9142
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0,4,4,0,0.03646026958428305,PPW,0.021710132959797124,0.9134,0.036599999999999966,0.9128
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8823,0.06769999999999998,0.8734
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.882,0.06799999999999995,0.8343
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.8777,0.07229999999999992,0.8325
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.8751,0.07489999999999997,0.7884
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0,0,0,0.1,0.10855073650778706,PPW,0.1422510462762961,0.875,0.07499999999999996,0.8875
Pearson,L_Y_dich_1_5__K_X_dich_2_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.10112439491776302,0.915,0.03499999999999992,0.9086
